Business Partner ID;ERP ISP ID;SAP Top Parent ID;SAP Top Parent Name;Customer Since Date Text;Organization Name1;Planning Entity;Default Address Street;Default Address Street2;Default Address Street3;Default Address Street4;Default Address House Number;Default Address City;Default Address Region;Default Address Region Descr;Default Address Postal Code;Default Address PO Box;Account Telephone Number;Account Web Address;Geo Level 1 Region Descr;, E;GEO Level 3 Country Descr;Account Owner ID;Account Owner Name;Account Executive ID;Account Executive Name;Primary DUNS Number;Turnover US Dollar Value;Turnover Local Currency Value;Turnover in MILLION Local Currency Value;Num Employees Local Value;Num Employees Global Value;SAP View Linkage Description;Internal Market Segment IMS Desc;Buying Product Relationship BPR Descr Concat;Internal Sales Segment ISS Descr;Archetype Descr;Internal Account Class IAC Current Descr;Active Status Description;Regional Buying Class RBC Descr;Default Master Code Descr;Default SIC Primary Code;Default SIC Primary Descr;Default Sales Org ID;Default Sales Org Descr;Default Sales Office Short;Default Sales Group Descr;Default Sales Office;Default Sales Office Descr;Default Sales Distribution Channel Descr;Default Sales Division Descr;Default Sales District;Default Sales District Descr;Multiple Address Role Descr;Account Relevancy Scaled Score;Account Main Tax Number;CNPJ_normalizado;cnpj_normalizadoapi
165463;226764;1105064;Gerdau Açominas S.A.;19971202;Gerdau Açominas S.A.;4154593;Rodovia MG 443;Fazenda do Cadete;##;Zona Rural;KM 07;Ouro Branco;MG;Minas Gerais;36420-000;##;31 3749 2002;www.gerdau.com.br;Americas;Latin America Caribbean;Brazil;25919294;Renato Coluci;25919294;Renato Coluci;899240683;3073026481;15504801458;#;11367;70043;Linked Account;Large Enterprise;SAP;Enterprise;8-Path to ERP;E-High Touch;Customer with SW Contract;Active;Mill Products and Mining;3325;Steel Foundries, NEC;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT TOP;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;#;9931;1,72E+18;1,72274E+13;1,72274E+13
166004;238313;159957;HP Inc.;20170512;Hewlett Packard Brasil Ltda.;17925413;Alameda Rio Negro, 750;##;##;##;##;Barueri;SP;São Paulo;06454-000;##;11 4197 8000;www.dxc.com/sap;Americas;Latin America Caribbean;Brazil;15454172;John Kennel;37022272;Andre Bernardes;899023188;698520217;3524348828;#;5879;58001;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;High Tech;3571;Computers;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7746;6,18E+18;6,17979E+13;6,17979E+13
166564;269836;166564;EMBRAER S.A.;19971203;EMBRAER S.A.;166564;Rod. PRESIDENTE DUTRA S/N,;KM 134;##;##;##;SAO JOSE DOS CAMPOS;SP;São Paulo;12247-004;##;12 3927 1000;www.embraer.com.br;Americas;Latin America Caribbean;Brazil;10179590;Diego Anunciato;10179590;Diego Anunciato;898303696;4666965527;23546941218;#;14841;16718;Top Parent;Large Enterprise;SAP,BOBJ,Sybase,Ariba,SuccessFactors,Concur;Enterprise;1-Farm;E-High Touch;Customer with SW Contract;Active;Aerospace and Defense;3721;Aircraft;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT TOP;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Sell-To, Planning;9970;7,69E+15;7,689E+12;7,689E+12
166822;273371;213061;Interpublic Group of Companies;19980206;Mccann Erickson Publicidade Ltda.;166822;Rua Loefgreen;##;##;Vl. Clementino;2527;São Paulo;SP;São Paulo;04040-033;##;11 3775 3000;www.mccann.com.br;Americas;Latin America Caribbean;Brazil;28775822;Anton Zhukov;36344597;Alexia Viana;899037097;84098799;424316285;#;1298;65609;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Media;7311;Advertising Agencies;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7693;6,14E+18;6,14164E+13;6,14164E+13
166826;273097;1091681;Software GmbH;19970515;IDS - Scheer Sistemas de;14347570;Rua Edward Joseph;Cj. 111;##;##;122;São Paulo;SP;São Paulo;05709-020;##;(11)3846-9986;http://www.ids-scheer.com/;Americas;Latin America Caribbean;Brazil;24141899;Frank Schaefer;37022272;Andre Bernardes;901907857;1323968;6680014;#;8;4908;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Professional Services;8748;Business Consulting Services, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7693;1,93E+17;1,93132E+12;1,93132E+12
166905;273416;42172;Unilever Europe Business Center B.V.;19980529;Unilever Brasil Industrial Ltda;164188;Av. Presidente Juscelino Kubitschek;13 andar / sala 4;##;Vila Nova Conceição;1309;São Paulo;SP;São Paulo;04543-011;##;11 3568 8000;www.unilever.com.br;Americas;Latin America Caribbean;Brazil;17030116;Derck Stempvoort;37022272;Andre Bernardes;909265753;46337056;233791299;#;0;0;Linked Account;Mid-Size Enterprise;SAP;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Consumer Products;2032;Canned Specialties;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Payer, Bill-To;7489;1,62E+17;1,61581E+12;1,61581E+12
166906;273391;163162;The Coca-Cola Company;19970611;Refrigerantes Minas Gerais Ltda.;3084751;Rod Anel Rodoviario;##;##;##;2233;Belo Horizonte;MG;Minas Gerais;31950-640;##;31 3469 7555;www.cocacolabrasil.com.br;Americas;Latin America Caribbean;Brazil;10541886;Brandon Rhymer;18894784;Rafael Romao;899581474;96929125;489051053;#;8;8;Linked Account;Large Enterprise;;Enterprise;7-Move to Corporate;E-High Touch;Customer Tech Install;Active;Consumer Products;2087;Flavoring Extracts and Flavoring Syrups NEC;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT AGRO;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;#;7693;1,72E+18;1,71682E+13;1,71682E+13
167391;281494;1144873;SONDA S.A.;19970618;PWI-Procwork Informática Ltda;3422400;Av. Nove de Julho;##;##;##;562;Poá;SP;São Paulo;08550-100;##;(11)5504-0000;www.sondaprocwork.com.br;Americas;Latin America Caribbean;Brazil;34669986;Ivonne Contreras;37022272;Andre Bernardes;899905319;103800;523717;#;250;250;Linked Account;Mid-Size Enterprise;SAP;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Professional Services;8748;Business Consulting Services, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7528;5,99E+18;5,99333E+13;5,99333E+13
167577;284575;1998117;ArcelorMittal SA;19970818;ArcelorMittal Sistemas S.A.;1247586;Av. Brasil;##;##;Bairro Funcionários;1654;Belo Horizonte;MG;Minas Gerais;30140-003;##;31 3217 4103;www.dns.com.br;Americas;Latin America Caribbean;Brazil;38449779;Eric Desomer;36249574;Tiago Vicentini;904814183;451118594;2276096310;#;14600;115484;Linked Account;Large Enterprise;;Enterprise;7-Move to Corporate;E-High Touch;Customer Tech Install;Active;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT MULTI;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Payer, Bill-To;7632;2,55E+18;2,55494E+13;2,55494E+13
167897;288817;167897;COMPANHIA SIDERÚRGICA NACIONAL;19971107;COMPANHIA SIDERÚRGICA NACIONAL;167897;Av Brigadeiro Faria Lima;19º e 20º andares e 15º parte;##;##;3400;São Paulo;SP;São Paulo;04538-132;##;11 3049 7000;www.csn.com.br;Americas;Latin America Caribbean;Brazil;31165032;Eduardo Milano;31165032;Eduardo Milano;897662268;8683776751;43813561408;#;25294;26131;Top Parent;Large Enterprise;SAP,BOBJ,Sybase,Ariba,SuccessFactors;Enterprise;7-Move to Corporate;E-High Touch;Customer with SW Contract;Active;Mill Products and Mining;3325;Steel Foundries, NEC;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT MULTI;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9945;3,30E+18;3,30427E+13;3,30427E+13
167899;290205;31438170;Corteva Agriscience LLC;19971112;Corteva Agriscience Do Brasil Ltda.;3284577;Av. Tambore;Edif Canopus - Torre Sul Bloco A Andar;##;6 - 7 - 8 Conj 61-A 71-A 81-A;267;Barueri;SP;São Paulo;06460-000;##;11 4166 8000;www.dupont.com.br;Americas;Latin America Caribbean;Brazil;35844283;AJ Roskin;36344597;Alexia Viana;898698386;1877823700;9474465587;#;3865;25415;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Chemicals;2824;Manmade Org. Fibers;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7759;6,11E+18;6,10649E+13;6,10649E+13
168122;291634;1121558;SAINT GOBAIN SYSTEMES D INFORMATION;19971202;Saint-Gobain Cerâmicas &;1235502;Avenida Independência, 7031;##;##;##;##;Vinhedo;SP;São Paulo;13284-400;##;19 2127 8502;www.saint-gobain.com.br;Americas;Latin America Caribbean;Brazil;27036180;Kevin CAQUERET;28923936;Giovanna Fiorio;911128692;102385764;516582252;#;0;0;Linked Account;Large Enterprise;SAP;Enterprise;7-Move to Corporate;E-High Touch;Customer with SW Contract;Dormant;Mill Products and Mining;3253;Ceramic Wall Tile;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT MULTI;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;#;9904;4,51E+16;4,50887E+11;4,50887E+11
173810;320122;160898;Johnson & Johnson Services, Inc.;19981202;Johnson & Johnson Industrial Ltda;2653531;Rod. Presidente Dutra Km 154;##;##;Jd. das Indústrias;S/N;São José dos Campos;SP;São Paulo;12240-907;##;12 3030 8734;www.jnjbrasil.com.br;Americas;Latin America Caribbean;Brazil;17869991;Jeff Hornibrook;36344597;Alexia Viana;908758019;270792099;1366267995;#;1210;22002;Linked Account;Mid-Size Enterprise;SAP;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Life Sciences;2834;Pharmaceutical Preparations;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7621;5,97E+17;5,9749E+13;5,9749E+13
176084;333249;3713412;State Grid Corporation of China;19990105;Rio Grande Energia S.A.;1120558;R Mario de Boni 1902  - Bairro Floresta;##;##;##;##;Caxias do Sul;RS;Rio Grande do Sul;95012-580;##;54 3026 1261;www.rge-rs.com.br;Americas;Latin America Caribbean;Brazil;38493560;Lingling Mao;6519769;Edvaldo Rigon;901228015;1028687632;5190192012;#;0;0;Linked Account;Large Enterprise;SAP;Enterprise;7-Move to Corporate;E-High Touch;Customer Tech Install;Active;Utilities;4931;Electric Power;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT UTI & OS;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Payer, Bill-To;7489;2,02E+17;2,01644E+12;2,01644E+12
179372;350469;159978;BMW AG;19980803;BMW do Brasil Ltda.;179372;Av. Marginal Pinheiros;1º andar;##;##;5200;São Paulo;SP;São Paulo;05693-000;##;11 5504 0400;www.bmw.com.br;Americas;Latin America Caribbean;Brazil;12028561;Johannes Heydt;37022272;Andre Bernardes;899083767;6728108075;33946332887;#;879;152110;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Automotive;3711;Motor Vehicles and Passenger Car Bodies;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7615;8,82E+15;8,8243E+11;8,8243E+11
179414;350693;179414;Thomson Reuters Brasil Conteudo;19990512;Thomson Reuters Brasil Conteudo;179414;Avenida Doutor Cardoso de Melo, 1855 13º And;##;##;##;##;São Paulo;SP;São Paulo;04548-005;##;11 2159 0500;www.thomsonreuters.com.br/pt/tax-accounting/onesource-mastersaf.html;Americas;Latin America Caribbean;Brazil;36031586;Daniela Justi;36031586;Daniela Justi;901285721;153134997;772634970;#;581;55004;Top Parent;Mid-Size Enterprise;SAP,BOBJ,Sybase;Corporate;8-Path to ERP;C-Field;Customer with SW Contract;Active;High Tech;7372;Prepackaged Software;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP FIELD MUL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, End-Customer, Planning;9756;9,11E+16;9,10509E+11;9,10509E+11
180080;363335;180080;BASICS Software Importacao e;19981230;BASICS Software Importacao e;180080;R Coronel Oscar Porto;Andar 11;##;Paraíso;813;São Paulo;SP;São Paulo;04003-004;##;11 3884 8674;www.basics.com.br;Americas;Latin America Caribbean;Brazil;35740919;Carlos Xirau;35740919;Carlos Xirau;902354877;891377;4497398;0;1;1;Top Parent;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Ex-Customer;Dormant;Professional Services;7371;Computer Programming;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7026;3,29E+16;3,28801E+11;3,28801E+11
180453;377623;954811;IBERDROLA, S.A.;19990526;Elektro Redes S/A;180453;Rua Ary Antenor de Souza;##;##;Jd. Nova America;321;Campinas;SP;São Paulo;13053-024;##;19 2122 1000;http://www.elektro.com.br/;Americas;Latin America Caribbean;Brazil;12692;Frank Soler;6519769;Edvaldo Rigon;901279211;8287416895;41813747572;#;15027;30932;Linked Account;Large Enterprise;SAP,BOBJ;Enterprise;4-Move to Expand;E-High Touch;Customer with SW Contract;Active;Utilities;4911;Electric Services;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT UTI & OS;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9723;2,33E+17;2,32828E+12;2,32828E+12
180684;389647;162754;Petróleo Brasileiro S.A.- Petrobras;19981230;Petrobras Transporte S.A.;162754;Av. Presidente Vargas;5º andar;##;Ed Visconde de Itaboraí;328;Rio de Janeiro;RJ;Rio de Janeiro;20091-060;##;21 3211 9172;www.www.petrobras.com;Americas;Latin America Caribbean;Brazil;6655230;Gabriele Soares;6655230;Gabriele Soares;901301960;10489207168;52922770305;#;45195;45532;Linked Account;Large Enterprise;SAP,BOBJ,Sybase,SuccessFactors;Enterprise;4-Move to Expand;E-High Touch;Customer with SW Contract;Active;Travel and Transportation;4789;Transportation Services, NEC;O 50002302;SAP Brazil;SOFF-PCT;FL-BR PETROBRAS;O 50088871;SL-BR TRAFO STR ACC;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To;9906;2,71E+17;2,70945E+12;2,70945E+12
180785;392293;1139643;Grupo Carso SAB de CV;20001229;Empresa Brasileira de Telecomunicações;180785;Av. Presidente Vargas;Centro;##;##;1012;Rio de Janeiro;RJ;Rio de Janeiro;20071-004;##;(21) 2121-8182;www.embratel.com.br;Americas;Latin America Caribbean;Brazil;16754131;Armando Pahua;4700165;Andre Fazio;900145772;8259622898;41673514350;#;63;63;Linked Account;Large Enterprise;SAP,Sybase;Enterprise;7-Move to Corporate;E-High Touch;Customer with SW Contract;Active;Telecommunications;4813;Telephone Communications, Except Radiotelephone;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT MULTI;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9878;3,35E+18;3,35305E+13;3,35305E+13
180801;399158;41985;LyondellBasell Industries Holdings B.V.;19990121;Lyondell Quimica do Brazil Ltda.;180801;Av. Roque Petroni Jr;##;##;##;999;São Paulo;SP;São Paulo;04707-910;##;11 5184 8405;www.lyondellbasell.com;Americas;Latin America Caribbean;Brazil;29717336;Parastoe Koshai;38466153;Henrique Giancoli;902424121;2324820000;11729763069;#;53;53;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Chemicals;2869;Org. Chemicals, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7693;6,48E+18;6,47711E+13;6,47711E+13
181184;404303;181184;Spread Sistemas e Automacao Ltda;0;Spread Sistemas e Automacao Ltda;181184;Rua PARAIBA 550 ANDAR 8 E 9;##;##;##;1408;Belo Horizonte;MG;Minas Gerais;30130-141;##;(31)3262-3261;www.spread.com.br;Americas;Latin America Caribbean;Brazil;38321548;Joice Costa;38321548;Joice Costa;901356323;30892;155864;#;2;2;Stand Alone Account;Mid-Size Enterprise;;Corporate;10-Prospects;C-Digital;Non Cust - With Transactions;Net New;Professional Services;7371;Computer Programming;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;6081;1,91E+18;1,91389E+13;1,91389E+13
181311;1127631;181311;Average Technologia Ltda.;0;Average Technologia Ltda.;181311;Rua Formosa, 75 1, 1 And;##;##;##;##;São Paulo;SP;São Paulo;01049-000;##;11 3124 5311;www.average.com.br;Americas;Latin America Caribbean;Brazil;35740919;Carlos Xirau;35740919;Carlos Xirau;902869408;4633706;23379131;#;41;41;Stand Alone Account;Mid-Size Enterprise;;Corporate;10-Prospects;C-Digital;Non Cust - With Transactions;Net New;High Tech;7372;Prepackaged Software;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;6081;5,61E+18;5,60987E+13;5,60987E+13
181475;#;181475;Quality Comercio de Sistemas;0;Quality Comercio de Sistemas;181475;Av. Eng. Luis Carlos Berrini;11º Andar - Brooklin Novo - Conj. 111;##;##;801;São Paulo;SP;São Paulo;04571-000;##;(11)5505-1562;www.qualitysw.com.br;Americas;Latin America Caribbean;Brazil;35740919;Carlos Xirau;35740919;Carlos Xirau;900396570;177476;895446;#;4;4;Stand Alone Account;Mid-Size Enterprise;;Corporate;10-Prospects;C-Digital;Non Cust - With Transactions;Net New;High Tech;7372;Prepackaged Software;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;6081;6,67E+18;6,66672E+13;6,66672E+13
192381;424585;163162;The Coca-Cola Company;19970801;Refrescos Bandeirantes Ind. Com.;3084751;AV SAO LUIZ;##;##;##;86;Sao Paulo;SP;São Paulo;01046-000;##;(62)3236-2000;www.rebic.com.br;Americas;Latin America Caribbean;Brazil;10541886;Brandon Rhymer;18894784;Rafael Romao;914799028;46337056;233791299;#;3573;79100;Linked Account;Large Enterprise;BOBJ;Enterprise;7-Move to Corporate;E-High Touch;Customer with SW Contract;Active;Consumer Products;2086;Bottled and Canned Soft Drinks and Carbonated Waters;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT AGRO;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;#;9188;3,38E+17;3,38076E+12;3,38076E+12